Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1311,Avocados,2014,2014,ha,650,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1311,Avocados,2014,2014,hg/ha,116923,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5510,Production,1311,Avocados,2014,2014,tonnes,7600,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1312,Bananas,2014,2014,ha,409960,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1312,Bananas,2014,2014,hg/ha,25344,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5510,Production,1312,Bananas,2014,2014,tonnes,1039020,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,115,Barley,2014,2014,ha,0,M,"Missing value (data cannot exist, not applicable)"
QCL,Crops and livestock products,646,Rwanda,5510,Production,115,Barley,2014,2014,tonnes,0,M,"Missing value (data cannot exist, not applicable)"
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1701,"Beans, dry",2014,2014,ha,465865,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1701,"Beans, dry",2014,2014,hg/ha,8914,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5510,Production,1701,"Beans, dry",2014,2014,tonnes,415259,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1212,Cabbages,2014,2014,ha,5595,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1212,Cabbages,2014,2014,hg/ha,127145,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5510,Production,1212,Cabbages,2014,2014,tonnes,71135.13,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1251,Carrots and turnips,2014,2014,ha,1682,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1251,Carrots and turnips,2014,2014,hg/ha,88672,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5510,Production,1251,Carrots and turnips,2014,2014,tonnes,14915.79,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1520.01,"Cassava, fresh",2014,2014,ha,68852,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1520.01,"Cassava, fresh",2014,2014,hg/ha,130748,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5510,Production,1520.01,"Cassava, fresh",2014,2014,tonnes,900227,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,2014,ha,323,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,2014,hg/ha,137584,E,Estimated value
QCL,Crops and livestock products,646,Rwanda,5510,Production,1231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2014,2014,tonnes,4443.36,I,Imputed value
QCL,Crops and livestock products,646,Rwanda,5312,Area harvested,1610,"Coffee, green",2014,2014,ha,55030,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5419,Yield,1610,"Coffee, green",2014,2014,hg/ha,2976,A,Official figure
QCL,Crops and livestock products,646,Rwanda,5510,Production,1610,"Coffee, green",2014,2014,tonnes,16379,A,Official figure
